Date,Open,High,Low,Close,Volume,Adj Close
2007-09-10,12.92,13.13,12.57,12.69,19760900,12.69
2007-09-04,13.17,13.44,12.55,12.61,18389900,12.61
2007-08-27,12.08,13.04,11.66,13.00,22388900,13.00
2007-08-20,12.05,12.44,11.82,12.13,20772200,12.13
2007-08-13,13.22,13.22,11.27,11.89,31238000,11.89
2007-08-06,12.91,13.60,12.38,13.01,37824000,13.01
2007-07-30,14.02,14.08,12.85,12.85,28474100,12.85
2007-07-23,15.51,15.69,13.84,13.87,39908600,13.87
2007-07-16,15.45,16.190001,15.02,15.50,38069400,15.50
2007-07-09,14.53,15.50,14.34,15.43,24707100,15.43
2007-07-02,14.26,14.49,14.11,14.39,15367300,14.39
2007-06-25,14.68,14.83,14.05,14.30,20710600,14.30
2007-06-18,13.65,14.88,13.28,14.57,32093700,14.57
2007-06-11,14.12,14.25,13.53,13.63,22974600,13.63
2007-06-04,14.25,14.40,13.56,14.07,29635500,14.07
2007-05-29,14.97,15.00,14.22,14.31,18569500,14.31
2007-05-21,15.63,15.77,14.59,14.76,21798300,14.76
2007-05-14,14.94,15.95,14.84,15.59,34915100,15.59
2007-05-07,13.58,14.69,13.00,14.68,33288300,14.68
2007-04-30,14.27,14.28,13.35,13.53,23820900,13.53
2007-04-23,14.03,14.73,13.60,14.32,47923400,14.32
2007-04-16,13.60,14.75,13.37,14.16,36539900,14.16
2007-04-09,13.40,13.79,13.13,13.57,34065100,13.57
2007-04-02,13.08,13.09,12.60,12.86,16065700,12.86
2007-03-26,13.55,13.73,12.96,13.06,18312500,13.06
2007-03-19,14.01,14.05,13.32,13.50,26655400,13.50
2007-03-12,14.09,14.27,13.70,14.01,19542900,14.01
2007-03-05,13.60,14.35,13.53,14.20,22394300,14.20
2007-02-26,14.83,15.73,14.13,14.18,43445200,14.18
2007-02-20,14.93,15.01,14.43,14.69,23901100,14.69
2007-02-12,14.96,15.13,14.47,14.94,20409400,14.94
2007-02-05,15.74,15.80,14.80,14.90,24581500,14.90
2007-01-29,16.209999,16.23,15.52,15.69,24877300,15.69
2007-01-22,17.59,17.700001,15.93,16.219999,36804300,16.219999
2007-01-16,18.15,18.35,17.66,17.73,25897200,17.73
2007-01-08,19.709999,20.629999,17.620001,18.26,39311200,18.26
2007-01-03,20.08,20.40,19.32,19.709999,22635000,19.709999
2006-12-26,20.889999,20.889999,20.299999,20.35,9181900,20.35
2006-12-18,22.049999,22.209999,20.68,20.77,17630900,20.77
2006-12-11,21.02,23.00,19.90,22.120001,34040300,22.120001
2006-12-04,21.00,21.73,20.65,20.93,17857300,20.93
2006-11-27,21.719999,22.33,20.41,20.690001,23381000,20.690001
2006-11-20,21.41,21.969999,21.049999,21.799999,14268400,21.799999
2006-11-13,21.059999,21.950001,20.790001,21.450001,19700800,21.450001
2006-11-06,21.120001,21.98,20.799999,21.07,18184900,21.07
2006-10-30,20.959999,21.57,20.559999,20.879999,19113600,20.879999
2006-10-23,20.219999,21.790001,20.15,20.860001,32619800,20.860001
2006-10-16,25.35,25.690001,20.00,20.120001,45859700,20.120001
2006-10-09,24.25,25.40,22.870001,25.23,25996900,25.23
2006-10-02,24.67,25.24,23.790001,24.01,17875700,24.01
2006-09-25,26.40,27.17,24.66,24.85,21709300,24.85
2006-09-18,26.58,27.90,25.639999,26.209999,17092700,26.209999
2006-09-11,25.48,27.65,25.360001,26.530001,19434800,26.530001
2006-09-05,25.200001,26.23,23.719999,25.799999,24763100,25.799999
2006-08-28,24.540001,25.25,23.700001,24.66,14377600,24.66
2006-08-21,23.67,25.719999,23.290001,24.559999,21450600,24.559999
2006-08-14,19.93,24.76,19.59,23.93,28191500,23.93
2006-08-07,20.280001,20.85,19.370001,19.780001,13638700,19.780001
2006-07-31,19.280001,21.200001,18.84,20.469999,19655100,20.469999
2006-07-24,17.620001,19.10,16.90,19.10,28921800,19.10
2006-07-17,21.35,22.10,18.23,18.26,24492600,18.26
2006-07-10,23.709999,23.91,21.23,21.60,16043600,21.60
2006-07-03,24.48,24.719999,22.450001,23.559999,14424000,23.559999
2006-06-26,25.299999,25.379999,23.459999,24.42,12844800,24.42
2006-06-19,25.85,26.02,24.620001,25.139999,10795100,25.139999
2006-06-12,26.799999,26.969999,24.370001,25.639999,17651100,25.639999
2006-06-05,30.049999,30.139999,26.23,26.75,19608500,26.75
2006-05-30,31.389999,31.92,29.950001,30.10,14516500,30.10
2006-05-22,34.450001,34.75,30.25,31.629999,17778400,31.629999
2006-05-15,31.60,34.959999,29.68,34.950001,23010400,34.950001
2006-05-08,34.049999,34.419998,31.25,31.66,11744100,31.66
2006-05-01,32.52,34.50,31.780001,34.43,8118300,34.43
2006-04-24,31.90,33.759998,31.41,32.349998,12145700,32.349998
2006-04-17,31.940001,32.240002,29.969999,31.73,20806900,31.73
2006-04-10,33.619999,35.75,31.610001,31.799999,26753100,31.799999
2006-04-03,32.200001,35.400002,32.169998,33.689999,14639700,33.689999
2006-03-27,35.959999,36.080002,32.950001,33.16,15307200,33.16
2006-03-20,33.939999,36.16,33.52,36.130001,16152900,36.130001
2006-03-13,35.50,36.00,32.59,33.950001,25954700,33.950001
2006-03-06,39.900002,40.25,35.599998,36.630001,18086600,36.630001
2006-02-27,40.700001,42.700001,38.619999,39.509998,18532500,39.509998
2006-02-21,40.580002,41.200001,39.369999,40.540001,11871200,40.540001
2006-02-13,39.880001,41.82,38.32,40.330002,13411200,40.330002
2006-02-06,40.099998,42.09,39.169998,40.099998,11222500,40.099998
2006-01-30,39.619999,42.419998,39.439999,39.540001,15380500,39.540001
2006-01-23,35.849998,40.790001,34.669998,39.849998,20952900,39.849998
2006-01-17,32.459999,38.400002,32.150002,35.700001,31171400,35.700001
2006-01-09,33.75,37.459999,32.91,34.130001,18215400,34.130001
2006-01-03,31.02,34.25,30.879999,33.779999,13766400,33.779999
2005-12-27,30.77,31.84,30.16,30.60,9297000,30.60
2005-12-19,27.809999,30.65,27.67,30.50,9812500,30.50
2005-12-12,27.200001,28.370001,26.66,28.17,8655900,28.17
2005-12-05,27.65,27.77,25.25,26.90,9583000,26.90
2005-11-28,26.68,28.25,25.299999,27.950001,10936600,27.950001
2005-11-21,27.00,27.360001,26.049999,26.52,11942300,26.52
2005-11-14,24.76,26.950001,24.76,26.74,15532600,26.74
2005-11-07,24.76,24.99,23.969999,24.76,7918800,24.76
2005-10-31,22.450001,24.83,22.43,24.629999,9574600,24.629999
2005-10-24,22.00,23.040001,21.43,22.32,9438600,22.32
2005-10-17,21.360001,21.950001,20.219999,21.85,9800700,21.85
2005-10-10,24.299999,24.450001,20.50,21.190001,19794800,21.190001
2005-10-03,25.469999,26.07,23.59,24.00,11311600,24.00
2005-09-26,23.76,25.75,23.200001,25.200001,12501500,25.200001
2005-09-19,22.52,23.280001,21.77,22.98,9193900,22.98
2005-09-12,23.709999,23.950001,22.41,22.65,9404300,22.65
2005-09-06,21.049999,24.030001,20.959999,23.85,10380300,23.85
2005-08-29,20.90,21.219999,20.299999,20.90,6094200,20.90
2005-08-22,20.67,21.18,20.35,21.00,4617700,21.00
2005-08-15,20.629999,21.27,20.280001,20.549999,6165700,20.549999
2005-08-08,20.08,21.299999,19.91,20.700001,6607000,20.700001
2005-08-01,20.08,20.700001,19.82,19.91,4483100,19.91
2005-07-25,20.219999,20.360001,19.200001,20.08,7166500,20.08
2005-07-18,19.950001,20.84,19.780001,20.49,7889100,20.49
2005-07-11,19.049999,20.17,18.709999,20.01,12524500,20.01
2005-07-05,17.74,19.030001,17.60,18.940001,7984000,18.940001
2005-06-27,17.110001,17.73,16.629999,17.450001,6197900,17.450001
2005-06-20,17.23,18.23,17.10,17.17,6123900,17.17
2005-06-13,17.450001,17.700001,16.58,17.440001,6385600,17.440001
2005-06-06,17.00,18.34,16.809999,17.57,10931100,17.57
2005-05-31,16.15,17.34,16.15,17.08,6815600,17.08
2005-05-23,16.120001,16.620001,15.76,16.209999,6241500,16.209999
2005-05-16,15.70,16.120001,15.38,16.00,5580900,16.00
2005-05-09,15.08,15.85,14.85,15.48,7412100,15.48
2005-05-02,14.21,15.02,14.21,14.90,5076600,14.90
2005-04-25,14.80,15.09,14.08,14.23,6173600,14.23
2005-04-18,15.45,15.60,14.45,14.60,10034400,14.60
2005-04-11,17.09,17.50,15.41,15.45,14558400,15.45
2005-04-04,16.18,17.379999,15.67,17.09,10828900,17.09
2005-03-28,16.25,16.440001,15.11,16.190001,8613000,16.190001
2005-03-21,16.10,16.219999,15.16,16.120001,8113000,16.120001
2005-03-14,16.360001,16.690001,15.86,16.08,7331900,16.08
2005-03-07,17.34,17.75,16.299999,16.360001,7076200,16.360001
2005-02-28,17.700001,18.02,17.08,17.43,8018600,17.43
2005-02-22,16.790001,17.91,16.24,17.77,14369200,17.77
2005-02-14,18.10,18.360001,16.780001,16.90,8934200,16.90
2005-02-07,17.530001,18.450001,17.129999,18.110001,10169200,18.110001
2005-01-31,16.00,17.49,15.74,17.49,10049500,17.49
2005-01-24,15.60,16.32,15.11,15.71,10238100,15.71
2005-01-18,15.05,15.87,15.05,15.49,16826100,15.49
2005-01-10,20.10,20.49,14.63,15.16,38303800,15.16
2005-01-03,22.110001,22.299999,19.15,19.92,15243500,19.92
2004-12-27,22.26,22.370001,21.549999,22.02,5610800,22.02
2004-12-20,22.50,22.60,20.51,22.120001,11294100,22.120001
2004-12-13,22.549999,23.129999,22.00,22.43,7941200,22.43
2004-12-06,23.219999,24.950001,21.65,21.83,16933100,21.83
2004-11-29,21.85,23.50,20.860001,23.219999,13208200,23.219999
2004-11-22,20.50,21.83,20.00,21.540001,7488500,21.540001
2004-11-15,20.85,22.49,20.50,20.809999,16732100,20.809999
2004-11-08,17.09,21.10,17.02,21.02,16932800,21.02
2004-11-01,16.879999,18.10,16.450001,17.09,17080500,17.09
2004-10-25,15.49,16.85,15.41,16.82,9500200,16.82
2004-10-18,13.90,15.99,13.88,15.56,16136600,15.56
2004-10-11,13.75,14.19,13.51,14.00,8724300,14.00
2004-10-04,13.52,14.22,13.09,13.50,12607500,13.50
2004-09-27,12.25,13.49,12.22,13.43,6127100,13.43
2004-09-20,12.50,13.23,12.24,12.42,8381700,12.42
2004-09-13,12.43,13.16,12.12,12.70,12015200,12.70
2004-09-07,11.10,12.29,10.83,12.21,8975300,12.21
2004-08-30,11.96,11.96,10.76,10.90,7837500,10.90
2004-08-23,12.13,12.44,11.69,11.96,6281900,11.96
2004-08-16,11.06,12.15,10.98,11.97,6596800,11.97
2004-08-09,11.75,11.75,10.76,11.06,8413200,11.06
2004-08-02,12.20,12.29,11.17,11.26,8982500,11.26
2004-07-26,12.15,12.56,11.03,12.49,13037300,12.49
2004-07-19,12.64,12.93,12.11,12.12,11171100,12.12
2004-07-12,14.71,14.71,12.55,12.64,19720000,12.64
2004-07-06,15.00,15.40,14.65,14.81,9967300,14.81
2004-06-28,15.72,16.00,15.09,15.27,9860000,15.27
2004-06-21,14.94,15.80,14.06,15.50,12447100,15.50
2004-06-14,15.75,15.75,14.35,14.88,6789600,14.88
2004-06-07,15.30,16.35,15.29,15.75,10776900,15.75
2004-06-01,15.50,15.60,14.58,15.12,7356300,15.12
2004-05-24,14.43,15.55,14.20,15.55,6961300,15.55
2004-05-17,13.93,15.00,13.65,14.24,9892900,14.24
2004-05-10,14.90,15.50,13.84,13.87,12187700,13.87
2004-05-03,14.69,14.98,14.05,14.91,8874700,14.91
2004-04-26,16.370001,16.42,13.98,14.22,9391100,14.22
2004-04-19,16.10,16.74,15.63,16.360001,9828700,16.360001
2004-04-12,17.120001,17.60,15.75,16.049999,14168600,16.049999
2004-04-05,17.25,17.50,16.709999,17.00,10076100,17.00
2004-03-29,15.67,17.49,15.35,17.450001,11785400,17.450001
2004-03-22,15.05,15.95,14.57,15.51,12451700,15.51
2004-03-15,14.88,15.83,13.70,15.25,9054000,15.25
2004-03-08,15.49,15.58,14.20,15.00,9896900,15.00
2004-03-01,14.66,15.62,14.57,15.36,9410000,15.36
2004-02-23,14.50,15.30,13.60,15.00,11324200,15.00
2004-02-17,15.12,15.58,14.64,14.65,10071000,14.65
2004-02-09,15.01,15.85,14.76,14.94,9414800,14.94
2004-02-02,15.00,15.20,14.05,14.94,9459100,14.94
2004-01-26,15.19,16.08,14.25,14.86,10904600,14.86
2004-01-20,17.24,17.50,15.16,15.32,19083700,15.32
2004-01-12,15.70,17.08,15.11,16.76,14950700,16.76
2004-01-05,15.05,16.00,15.01,15.54,13052700,15.54
2003-12-29,14.95,15.47,14.12,14.86,8263400,14.86
2003-12-22,14.16,14.79,14.08,14.70,5119900,14.70
2003-12-15,15.80,15.80,13.80,14.26,16321200,14.26
2003-12-08,15.93,16.200001,14.39,15.27,15290300,15.27
2003-12-01,18.200001,18.389999,15.75,16.07,12782000,16.07
2003-11-24,17.15,17.98,17.15,17.969999,5490000,17.969999
2003-11-17,17.549999,17.950001,16.360001,16.799999,13390700,16.799999
2003-11-10,16.35,18.50,16.299999,17.860001,15650500,17.860001
2003-11-03,15.44,17.25,15.42,17.01,15967500,17.01
2003-10-27,13.70,15.56,13.70,15.20,10019300,15.20
2003-10-20,14.20,14.44,13.26,13.59,11337400,13.59
2003-10-13,13.33,14.56,13.20,13.99,16033000,13.99
2003-10-06,12.10,13.56,11.91,13.24,10296300,13.24
2003-09-29,11.15,12.28,10.52,11.89,11224200,11.89
2003-09-22,12.41,12.69,10.86,10.87,13864500,10.87
2003-09-15,12.30,12.87,11.70,12.68,13263200,12.68
2003-09-08,12.21,12.59,10.89,12.16,16091700,12.16
2003-09-02,11.48,12.55,10.80,12.10,17373500,12.10
2003-08-25,10.20,11.36,9.60,11.29,12915200,11.29
2003-08-18,8.48,10.30,8.35,9.91,20906600,9.91
2003-08-11,7.30,7.87,7.07,7.80,4834200,7.80
2003-08-04,7.19,7.80,7.12,7.26,6683300,7.26
2003-07-28,7.12,7.50,7.12,7.19,4009800,7.19
2003-07-21,7.12,7.30,7.00,7.16,5163100,7.16
2003-07-14,7.47,7.52,7.05,7.12,8542400,7.12
2003-07-07,6.98,7.40,6.85,7.20,8501800,7.20
2003-06-30,6.38,6.85,6.25,6.71,5199300,6.71
2003-06-23,6.79,6.90,5.80,6.38,10594800,6.38
2003-06-16,6.53,7.00,6.44,6.79,7537300,6.79
2003-06-09,6.90,6.91,6.28,6.52,11992400,6.52
2003-06-02,7.20,7.39,6.81,6.93,10350100,6.93
2003-05-27,6.90,7.65,6.80,7.28,6895700,7.28
2003-05-19,7.51,7.54,6.88,6.91,5083500,6.91
2003-05-12,7.36,7.67,7.30,7.60,6306500,7.60
2003-05-05,7.51,7.88,7.22,7.35,7545800,7.35
2003-04-28,7.54,7.89,7.10,7.40,9265100,7.40
2003-04-21,8.18,8.59,7.42,7.54,13559500,7.54
2003-04-14,7.16,8.19,7.16,8.03,12440300,8.03
2003-04-07,7.50,7.56,6.88,7.15,5937000,7.15
2003-03-31,6.00,7.40,6.00,7.10,9848600,7.10
2003-03-24,6.90,7.07,6.15,6.22,7239600,6.22
2003-03-17,5.60,7.24,5.50,7.15,11519100,7.15
2003-03-10,5.25,5.87,5.24,5.77,5898000,5.77
2003-03-03,5.55,5.65,5.10,5.25,4978500,5.25
2003-02-24,5.49,5.49,5.08,5.49,4988800,5.49
2003-02-18,5.33,5.67,5.27,5.39,5293800,5.39
2003-02-10,5.05,5.27,4.78,5.10,4623700,5.10
2003-02-03,5.24,5.25,4.88,5.04,5116100,5.04
2003-01-27,5.37,5.65,4.99,5.24,6997300,5.24
2003-01-21,6.12,6.19,5.34,5.43,8221200,5.43
2003-01-13,7.68,7.79,5.85,6.03,11275300,6.03
2003-01-06,7.05,7.55,6.63,7.41,11192800,7.41
2002-12-30,6.27,7.19,6.18,6.94,8029100,6.94
2002-12-23,6.70,6.88,6.30,6.35,3451200,6.35
2002-12-16,7.31,7.70,6.37,6.62,8851400,6.62
2002-12-09,7.60,8.05,7.28,7.32,7791200,7.32
2002-12-02,9.29,9.60,7.23,8.11,19109400,8.11
2002-11-25,6.86,9.10,6.86,9.00,20866900,9.00
2002-11-18,6.50,7.00,5.44,6.86,26895800,6.86
2002-11-11,6.10,6.60,5.80,6.48,5527100,6.48
2002-11-04,6.90,7.80,6.04,6.10,7089200,6.10
2002-10-28,6.43,6.51,5.61,6.51,6479400,6.51
2002-10-21,4.73,6.45,4.67,6.09,10359700,6.09
2002-10-14,3.75,4.87,3.43,4.40,6089900,4.40
2002-10-07,3.50,3.89,3.10,3.76,8222500,3.76
2002-09-30,5.70,5.70,3.50,3.51,14036900,3.51
2002-09-23,6.23,6.23,5.70,5.74,7449000,5.74
2002-09-16,7.20,7.38,6.27,6.40,4995200,6.40
2002-09-09,8.01,8.60,7.12,7.21,5326300,7.21
2002-09-03,8.60,8.69,7.83,8.04,5285300,8.04
2002-08-26,9.70,9.80,8.51,8.85,4145500,8.85
2002-08-19,9.93,10.88,9.45,9.67,5940000,9.67
2002-08-12,8.68,9.95,8.38,9.93,3999400,9.93
2002-08-05,7.73,9.02,7.45,8.83,5786700,8.83
2002-07-29,8.12,8.51,7.01,7.31,4211700,7.31
2002-07-22,8.59,8.90,7.46,7.82,4243200,7.82
2002-07-15,9.10,10.30,8.34,8.49,6256400,8.49
2002-07-08,9.34,9.60,8.85,9.10,5012500,9.10
2002-07-01,9.60,9.70,7.82,9.34,5983800,9.34
2002-06-24,8.00,9.72,7.95,9.72,7088200,9.72
2002-06-17,9.90,11.18,7.99,8.04,10590000,8.04
2002-06-10,9.90,10.15,9.15,9.60,4070700,9.60
2002-06-03,11.40,11.41,9.04,9.81,5746700,9.81
2002-05-28,11.95,11.95,11.13,11.43,2651900,11.43
2002-05-20,12.20,12.44,11.46,11.65,3069400,11.65
2002-05-13,11.30,12.95,11.11,12.20,5409000,12.20
2002-05-06,11.02,11.74,10.40,11.04,6448600,11.04
2002-04-29,11.34,11.75,10.95,11.05,4813500,11.05
2002-04-22,12.10,12.25,11.01,11.20,7087900,11.20
2002-04-15,13.25,15.30,12.11,12.16,9398400,12.16
2002-04-08,13.01,13.99,12.75,13.15,4597300,13.15
2002-04-01,14.61,14.85,13.29,13.50,3908400,13.50
2002-03-25,14.65,14.91,14.00,14.71,3344000,14.71
2002-03-18,14.90,15.09,14.03,14.76,4429600,14.76
2002-03-11,16.209999,17.280001,14.29,14.60,5947900,14.60
2002-03-04,15.07,16.549999,14.40,16.209999,7255300,16.209999
2002-02-25,13.20,15.15,13.11,15.15,5652100,15.15
2002-02-19,14.50,14.76,12.63,12.85,7621700,12.85
2002-02-11,15.01,15.70,14.35,14.52,6179900,14.52
2002-02-04,15.80,15.85,13.00,15.25,6431400,15.25
2002-01-28,16.35,16.700001,14.96,15.80,6998400,15.80
2002-01-22,17.18,17.18,15.75,16.299999,8291500,16.299999
2002-01-14,19.18,19.959999,16.41,16.809999,10714600,16.809999
2002-01-07,20.450001,20.60,18.299999,19.15,7178100,19.15
2001-12-31,16.49,20.200001,15.85,20.00,9361500,20.00
2001-12-24,15.95,16.60,15.50,16.379999,3130300,16.379999
2001-12-17,17.200001,18.09,15.33,15.87,5473100,15.87
2001-12-10,17.50,18.360001,16.120001,17.469999,7074900,17.469999
2001-12-03,13.50,18.620001,13.39,17.85,12515300,17.85
2001-11-26,13.40,14.35,12.50,13.56,5443000,13.56
2001-11-19,13.67,13.80,12.72,13.36,3377300,13.36
2001-11-12,12.40,14.18,11.94,13.65,5567100,13.65
2001-11-05,12.46,14.67,12.15,12.39,10817500,12.39
2001-10-29,10.03,12.45,9.20,12.25,6763000,12.25
2001-10-22,9.22,10.49,9.09,10.34,3703100,10.34
2001-10-15,10.30,11.39,9.05,9.19,5534700,9.19
2001-10-08,8.33,10.80,8.25,10.40,5881800,10.40
2001-10-01,8.30,9.48,7.69,8.60,6378700,8.60
2001-09-24,9.75,10.35,7.80,8.15,8505100,8.15
2001-09-10,11.50,12.01,8.30,9.30,7449700,9.30
2001-09-04,13.17,13.40,11.10,11.50,7557400,11.50
